robot_src,pose_src,robot_dst,pose_dst,qx,qy,qz,qw,tx,ty,tz,kappa,tau,is_known_inlier,weight
5,0,5,1,-0.00526897,-0.0790575,-0.00141298,0.996855,-0.402396,-0.441412,5.65573,10000,100,1,1
5,1,5,2,0.00163884,-0.287811,-0.0214812,0.957445,-0.879497,-0.484411,5.33579,10000,100,1,1
5,2,5,3,0.0132329,-0.197235,-0.0103977,0.980212,-1.33383,-0.441424,5.21274,10000,100,1,1
5,3,5,4,0.0156535,-0.291552,-0.00766445,0.956396,-1.66099,-0.409941,4.88803,10000,100,1,1
5,4,5,5,0.00573929,-0.192437,-0.00886863,0.981252,0.3601,-0.236795,4.99867,10000,100,1,1
5,5,5,6,-0.0155213,0.343065,0.0216616,0.938934,2.35785,-0.21607,5.01611,10000,100,1,1
5,6,5,7,-0.00774602,-0.144664,-0.00581134,0.989433,-0.276034,-0.369332,5.36517,10000,100,1,1
5,7,5,8,0.0022113,-0.00199622,0.000975906,0.999995,-0.330435,-0.417982,5.49023,10000,100,1,1
5,8,5,9,-0.00150597,0.333163,0.0265372,0.942494,0.250197,-0.393527,5.17457,10000,100,1,1
5,9,5,10,-0.00392778,-0.293205,-0.0268245,0.955665,-0.717111,-0.361289,5.08046,10000,100,1,1
5,10,5,11,0.00253155,0.0362139,0.00101348,0.99934,1.73285,-0.375658,4.88267,10000,100,1,1
5,11,5,12,0.00483532,-0.0344873,0.00148963,0.999392,-0.00877058,-0.441407,5.76401,10000,100,1,1
5,12,5,13,0.00370629,-0.217781,-0.0089751,0.975949,-0.963608,-0.340301,5.19351,10000,100,1,1
5,13,5,14,-0.0184495,0.00910169,0.0149686,0.999676,-0.261162,-0.319311,5.13666,10000,100,1,1
5,14,5,15,0.0169399,0.113492,-0.003306,0.993389,0.616014,-0.572229,5.51357,10000,100,1,1
5,15,5,16,-0.000343973,-0.0325191,-0.00201582,0.999469,-0.445255,-0.434096,5.49853,10000,100,1,1
5,16,5,17,-0.000563853,0.0329472,-0.00286391,0.999453,0.187959,-0.401195,5.51333,10000,100,1,1
5,17,5,18,0.00285606,-0.0177988,0.00880713,0.999799,0.0711841,-0.38109,5.47683,10000,100,1,1
5,18,5,19,0.008269,-0.14464,-0.0127655,0.989367,-0.626976,-0.337505,5.10188,10000,100,1,1
5,19,5,20,-0.0149257,0.0773857,0.00384863,0.996882,0.259794,-0.276012,5.54234,10000,100,1,1
5,20,5,21,0.00276693,0.0642204,0.00113208,0.997931,0.550364,-0.451588,5.38918,10000,100,1,1
5,21,5,22,-0.00537749,0.250895,0.0183844,0.967825,1.19035,-0.326216,5.36555,10000,100,1,1
5,22,5,23,0.00150951,0.0688814,8.69166e-05,0.997624,0.409941,-0.354487,5.5871,10000,100,1,1
5,23,5,24,-0.00139862,-0.0168468,-0.00238465,0.999854,-0.570453,-0.513087,5.29719,10000,100,1,1
5,24,5,25,-0.0011778,0.026341,0.0028222,0.999648,-2.01922,-0.223458,4.01617,10000,100,1,1
5,25,5,26,-0.0165645,-0.316966,-0.0250276,0.947962,-3.73442,0.132438,1.69421,10000,100,1,1
5,26,5,27,-0.00933012,0.802171,0.0546117,0.594519,2.83364,0.0918092,1.40214,10000,100,1,1
5,27,5,28,-0.00335609,0.0782485,0.0036697,0.996921,1.47679,-0.394438,4.7116,10000,100,1,1
5,28,5,29,0.0120494,-0.499397,-0.0280763,0.865835,-1.76492,-0.381471,4.78375,10000,100,1,1
5,29,5,30,0.0234774,-0.489257,-0.0289843,0.871342,-3.85735,-0.309714,3.63508,10000,100,1,1
5,30,5,31,0.00851484,-0.602154,-0.030223,0.797762,-4.56632,-0.199929,1.57137,10000,100,1,1
5,31,5,32,-0.0153416,0.833746,0.0611276,0.548539,4.60723,0.124675,1.21597,10000,100,1,1
5,32,5,33,-0.0224726,-0.197435,-0.00858486,0.980021,-1.41452,-0.0753275,5.0962,10000,100,1,1
5,33,5,34,0.0247296,-0.0173868,-0.0265596,0.99919,-0.220732,-0.439404,5.32792,10000,100,1,1
5,34,5,35,0.0122444,-0.0405684,-0.003945,0.999094,-0.0492354,-0.530555,5.51914,10000,100,1,1
5,35,5,36,0.00185637,0.0526999,0.00708169,0.998584,0.10526,-0.334811,5.61314,10000,100,1,1
5,36,5,37,-0.0140238,-0.250456,-0.0132841,0.967935,-1.3699,-0.299501,5.13609,10000,100,1,1
5,37,5,38,6.09664e-05,-0.150497,-0.00292639,0.988606,-0.997916,-0.397573,5.13115,10000,100,1,1
5,38,5,39,0.00286751,0.00374618,-0.000936135,0.999988,-0.0754916,-0.407593,5.52054,10000,100,1,1
5,39,5,40,0.0222047,-0.00639349,-0.0388821,0.998977,1.26105,-0.440751,5.37451,10000,100,1,1
5,40,5,41,0.00216005,-0.287902,0.0228672,0.957384,-2.35048,-0.215138,4.67136,10000,100,1,1
5,41,5,42,-0.00150273,-0.618029,-0.0263033,0.785713,-2.75028,-0.0897938,3.86572,10000,100,1,1
5,42,5,43,-0.00617053,0.56268,0.0336535,0.825967,3.34448,-0.304763,3.85541,10000,100,1,1
5,43,5,44,0.0129171,-0.0517217,0.000102639,0.998578,-0.501758,-0.366211,5.28674,10000,100,1,1
5,44,5,45,-0.00233002,0.0286434,-0.00631557,0.999567,0.201592,-0.315498,5.40572,10000,100,1,1
5,45,5,46,0.00519381,-0.0606294,0.00145732,0.998146,-0.651722,-0.46717,5.55196,10000,100,1,1
5,46,5,47,-0.0110166,0.0742158,0.0028347,0.997177,0.298979,-0.336553,5.31837,10000,100,1,1
5,47,5,48,-0.00813586,-0.0691204,0.00246258,0.997572,-0.131179,-0.379669,5.52655,10000,100,1,1
5,48,5,49,0.00607313,0.170806,0.00953097,0.98524,0.90752,-0.452129,5.29843,10000,100,1,1
5,49,5,50,0.0111769,-0.303877,-0.0257688,0.952297,-1.04575,-0.388393,5.22835,10000,100,1,1
5,50,5,51,-0.00337765,-0.593965,-0.0424934,0.803361,-3.72501,-0.178671,3.28522,10000,100,1,1
5,51,5,52,0.0353735,-0.0224343,0.00604027,0.999104,0.049022,-0.63217,5.29261,10000,100,1,1
5,52,5,53,0.00160717,0.0604531,-4.88474e-05,0.99817,0.203037,-0.425744,5.48524,10000,100,1,1
5,53,5,54,-0.0423401,0.376883,0.00827548,0.925256,-0.757215,-0.163176,4.89809,10000,100,1,1
5,54,5,55,0.00217294,0.358218,0.0340627,0.933014,3.33064,-0.245276,3.85444,10000,100,1,1
5,55,5,56,-0.00144985,-0.0592929,-0.00505468,0.998227,0.497796,-0.408565,5.40257,10000,100,1,1
5,56,5,57,0.0114708,-0.261561,-0.0228154,0.964849,-3.1378,0.208505,-0.764219,10000,100,1,1
5,57,5,58,0.00473996,-0.577043,-0.0277975,0.816227,-2.3115,-0.206439,1.34376,10000,100,1,1
5,58,5,59,-0.00945308,0.380597,0.0252387,0.924348,2.20088,-0.436124,4.67821,10000,100,1,1
5,59,5,60,0.0103656,0.668492,0.0383455,0.742658,1.15274,-0.0533082,1.3841,10000,100,1,1
5,60,5,61,-0.0279027,-0.572665,-0.0564917,0.817365,-3.15372,0.130558,-2.70611,10000,100,1,1
5,61,5,62,0.0164574,-0.246752,-0.0187257,0.968758,-2.08631,-0.561153,4.81053,10000,100,1,1
5,62,5,63,-0.00669431,0.0556877,0.0131011,0.99834,0.180142,-0.432573,5.43595,10000,100,1,1
5,63,5,64,0.0342491,-0.143303,-0.0174828,0.988932,-0.985955,-0.731475,5.29908,10000,100,1,1
5,64,5,65,-0.0107097,-0.00353009,0.00474829,0.999925,-0.940408,-0.327873,5.00861,10000,100,1,1
5,65,5,66,0.00804333,-0.58311,-0.0561528,0.81041,-3.26934,-0.337889,3.8709,10000,100,1,1
5,66,5,67,-0.0248711,0.468825,0.0534764,0.88132,1.34281,-0.325841,5.13123,10000,100,1,1
5,67,5,68,0.0175155,0.188222,0.0106517,0.981913,1.31571,-0.464019,5.18536,10000,100,1,1
5,68,5,69,-0.00770392,0.385894,0.0243904,0.922189,3.29611,-0.131786,4.10451,10000,100,1,1
