robot_src,pose_src,robot_dst,pose_dst,qx,qy,qz,qw,tx,ty,tz,kappa,tau,is_known_inlier,weight
4,0,4,1,-0.00124539,0.0104555,-0.0033591,0.999939,-0.471145,-0.417247,5.20776,10000,100,1,1
4,1,4,2,-1.3804e-05,-0.0580119,-0.00384983,0.998308,-0.745149,-0.456518,5.43538,10000,100,1,1
4,2,4,3,0.00305742,-0.0104109,0.00417524,0.999932,-0.247644,-0.467414,5.65798,10000,100,1,1
4,3,4,4,0.00310899,0.0525216,0.00681678,0.998592,0.296416,-0.428855,5.59371,10000,100,1,1
4,4,4,5,0.00118334,-0.270614,-0.00986143,0.962637,-2.1368,-0.348586,4.98906,10000,100,1,1
4,5,4,6,-0.0191616,0.0618828,0.00432586,0.99789,0.249933,-0.387156,5.45205,10000,100,1,1
4,6,4,7,0.00694451,-0.220612,-0.0130637,0.975249,-1.50548,-0.40038,5.30925,10000,100,1,1
4,7,4,8,-0.000306939,0.152768,0.0118884,0.988191,0.933474,-0.450176,5.53725,10000,100,1,1
4,8,4,9,-0.0130704,-0.621548,-0.0424832,0.782114,-3.4758,-0.0230146,3.25209,10000,100,1,1
4,9,4,10,0.00522322,0.491165,0.0413344,0.87007,2.93614,-0.311472,4.24857,10000,100,1,1
4,10,4,11,0.00352338,-0.114104,-0.0111795,0.9934,-0.598461,-0.404178,5.40451,10000,100,1,1
4,11,4,12,-0.003853,0.018896,0.00236068,0.999811,-0.00899862,-0.451655,5.37366,10000,100,1,1
4,12,4,13,0.00947652,-0.0872322,-0.0155294,0.996022,-0.201002,-0.488478,5.53567,10000,100,1,1
4,13,4,14,0.00104257,-0.177643,-0.00286318,0.98409,-1.37944,-0.440268,5.55358,10000,100,1,1
4,14,4,15,0.012498,-0.0882155,0.00554367,0.996008,-0.491592,-0.453609,5.5075,10000,100,1,1
4,15,4,16,-0.00580876,-0.0547117,-0.00495184,0.998473,-0.423951,-0.254239,5.42599,10000,100,1,1
4,16,4,17,-0.0129271,0.0734933,0.00167467,0.997211,0.227153,-0.311227,5.46514,10000,100,1,1
4,17,4,18,-0.000760687,-0.0768055,0.00120126,0.997045,-0.450152,-0.451923,5.28747,10000,100,1,1
4,18,4,19,0.000698074,-0.0833952,-0.0146641,0.996408,-1.07634,-0.452562,5.38444,10000,100,1,1
4,19,4,20,0.00387213,-0.0558151,0.000176402,0.998434,0.0510747,-0.483193,5.47396,10000,100,1,1
4,20,4,21,0.00511241,0.0686372,0.0101571,0.997577,0.277067,-0.439346,5.57836,10000,100,1,1
4,21,4,22,-0.00628588,0.025942,0.0037043,0.999637,0.219798,-0.372681,5.34454,10000,100,1,1
4,22,4,23,-0.0034102,-0.0236575,-0.0048616,0.999702,-0.0594319,-0.422941,5.37113,10000,100,1,1
4,23,4,24,0.00463918,-0.00113542,-0.00359036,0.999982,-0.218959,-0.554212,5.54806,10000,100,1,1
4,24,4,25,0.000557953,-0.00189447,0.00487943,0.999986,-0.0187943,-0.46836,5.71761,10000,100,1,1
4,25,4,26,0.00320115,0.0212763,-0.000270636,0.999768,0.115614,-0.456515,5.56427,10000,100,1,1
4,26,4,27,0.00261909,0.0151194,-8.48899e-05,0.999882,-0.0546599,-0.393274,5.32753,10000,100,1,1
4,27,4,28,-0.00447263,-0.0124532,0.00669384,0.99989,-0.4599,-0.41656,5.47681,10000,100,1,1
4,28,4,29,0.0073207,0.0189144,-0.00616744,0.999775,-0.14049,-0.465009,5.36179,10000,100,1,1
4,29,4,30,-0.00751777,-0.00108785,0.00697423,0.999947,-0.310437,-0.373036,5.48646,10000,100,1,1
4,30,4,31,0.0129646,0.0697968,-0.00516255,0.997464,0.258962,-0.431334,5.45911,10000,100,1,1
4,31,4,32,-0.0203353,-0.0610018,-0.00204103,0.997928,-0.688275,-0.326638,5.66065,10000,100,1,1
4,32,4,33,0.00791816,0.060911,0.00903186,0.998071,0.268511,-0.466198,5.37269,10000,100,1,1
4,33,4,34,0.0104162,-0.0285649,-0.0118174,0.999468,-0.418944,-0.392775,5.37706,10000,100,1,1
4,34,4,35,-0.00613682,-0.0774131,0.000274055,0.99698,-0.525421,-0.305274,5.41521,10000,100,1,1
4,35,4,36,-0.000960813,0.0656984,0.0111285,0.997777,0.260986,-0.425776,5.36186,10000,100,1,1
4,36,4,37,-0.00664148,-0.0802342,-0.013111,0.996668,-0.164179,-0.395701,5.53314,10000,100,1,1
4,37,4,38,0.00721287,0.121475,0.0127787,0.992486,0.453392,-0.499447,5.5297,10000,100,1,1
4,38,4,39,0.00645256,-0.0977216,-0.00606298,0.995174,-0.45317,-0.307925,5.38837,10000,100,1,1
