robot_src,pose_src,robot_dst,pose_dst,qx,qy,qz,qw,tx,ty,tz,kappa,tau,is_known_inlier,weight
1,0,1,1,-0.00071426,-0.11404,-0.0165564,0.993338,-0.192818,-0.405443,5.45078,10000,100,1,1
1,1,1,2,-0.022191,-0.141954,0.00120806,0.989624,-1.15793,-0.406153,5.15334,10000,100,1,1
1,2,1,3,0.00557741,0.396775,0.0243806,0.917575,2.98891,-0.490964,4.47686,10000,100,1,1
1,3,1,4,0.0185382,-0.0383104,0.00136888,0.999093,-1.02936,-0.44298,5.23267,10000,100,1,1
1,4,1,5,-0.0110602,-0.0476638,-0.00377793,0.998795,-0.140877,-0.33304,5.56504,10000,100,1,1
1,5,1,6,-0.00266362,0.0689001,0.00843005,0.997584,0.321151,-0.422019,5.61786,10000,100,1,1
1,6,1,7,0.00317694,-0.0242266,-0.00144465,0.9997,-0.654935,-0.490941,5.66867,10000,100,1,1
1,7,1,8,0.00700275,-0.0177189,-0.0117449,0.999749,-0.0626154,-0.397347,5.37483,10000,100,1,1
1,8,1,9,-0.00282247,0.0142138,-0.00890543,0.999855,-7.16019e-05,-0.348746,5.3311,10000,100,1,1
1,9,1,10,-0.00808851,-0.0339289,0.00873392,0.999353,-0.555622,-0.383921,5.42982,10000,100,1,1
1,10,1,11,0.0136291,-0.221103,-0.018939,0.974971,-2.30504,-0.385623,4.8564,10000,100,1,1
1,11,1,12,-0.0076212,0.354209,0.0227576,0.934858,1.60111,-0.20327,5.10478,10000,100,1,1
1,12,1,13,-0.00845332,0.0747571,0.00383162,0.997159,0.32685,-0.273834,5.44321,10000,100,1,1
1,13,1,14,-0.00509463,-0.117117,-0.0136346,0.993011,-0.344002,-0.365893,5.20261,10000,100,1,1
1,14,1,15,-0.00177741,-0.0513857,0.000960839,0.998677,0.0595349,-0.389272,5.41501,10000,100,1,1
1,15,1,16,0.00213518,-0.0426692,-0.000627405,0.999087,-0.74803,-0.326913,5.32572,10000,100,1,1
1,16,1,17,-0.016716,0.313361,0.00867463,0.949447,1.02028,-0.229987,5.06342,10000,100,1,1
1,17,1,18,-0.00777598,0.26072,0.0113579,0.965316,1.55552,-0.356129,5.11888,10000,100,1,1
1,18,1,19,-0.0011297,-0.0499004,0.00285957,0.998749,0.0178482,-0.403184,5.41015,10000,100,1,1
1,19,1,20,0.00403745,0.046337,0.0133448,0.998829,0.0330212,-0.436652,5.35445,10000,100,1,1
1,20,1,21,-0.00250204,-0.035567,-0.0017017,0.999363,-0.208747,-0.373062,5.3445,10000,100,1,1
1,21,1,22,-0.00116178,0.0234387,-0.00234589,0.999722,-0.00815646,-0.46761,5.21102,10000,100,1,1
1,22,1,23,0.00186164,0.0501494,0.00312821,0.998735,0.169969,-0.377959,5.36703,10000,100,1,1
1,23,1,24,0.00732684,-0.121626,-0.00662575,0.992527,-0.618962,-0.418557,5.31738,10000,100,1,1
1,24,1,25,-0.0212892,0.0953308,0.00211401,0.995216,0.373298,-0.376955,5.56029,10000,100,1,1
1,25,1,26,0.0160393,-0.033862,0.00249467,0.999295,-0.228827,-0.511125,5.40789,10000,100,1,1
1,26,1,27,-0.00574432,0.0351151,-0.00171969,0.999365,0.251194,-0.391328,5.58443,10000,100,1,1
1,27,1,28,-0.00489098,-0.00828555,0.00569494,0.999937,-0.135153,-0.433521,5.56963,10000,100,1,1
1,28,1,29,0.0118903,-0.00752926,0.00106101,0.9999,-0.353556,-0.51114,5.54494,10000,100,1,1
1,29,1,30,-0.0286928,-0.0820711,-0.00904113,0.996172,-0.415706,-0.320759,5.36378,10000,100,1,1
1,30,1,31,0.0151676,0.065015,0.00621808,0.99775,0.241174,-0.613825,5.33713,10000,100,1,1
1,31,1,32,0.0118491,0.0827163,0.00489704,0.996491,0.347641,-0.530933,5.41293,10000,100,1,1
1,32,1,33,-0.00193417,-0.192653,-0.00393223,0.981257,-1.01001,-0.295895,5.11635,10000,100,1,1
1,33,1,34,-0.00317812,0.189795,0.00853654,0.981782,0.72606,-0.371067,5.34503,10000,100,1,1
1,34,1,35,0.00509957,-0.0933914,-0.0107346,0.995559,-0.11809,-0.376981,5.24038,10000,100,1,1
1,35,1,36,0.00258522,0.00622921,-0.00073647,0.999977,-0.161098,-0.451674,5.32922,10000,100,1,1
1,36,1,37,0.0110666,0.00986444,0.00611813,0.999871,0.150799,-0.379445,5.40377,10000,100,1,1
1,37,1,38,-0.0149444,-0.00908352,0.00386288,0.99984,0.0471986,-0.262866,5.41561,10000,100,1,1
1,38,1,39,0.00126538,-0.00806327,0.0010469,0.999966,0.151032,-0.468677,5.27175,10000,100,1,1
1,39,1,40,0.0081112,0.0517242,0.00212239,0.998626,0.0452453,-0.439569,5.50044,10000,100,1,1
1,40,1,41,-0.0133798,-0.00758069,-0.00382318,0.999874,-0.273242,-0.298643,5.5688,10000,100,1,1
1,41,1,42,-0.0157979,0.0137525,0.00771589,0.999751,0.048329,-0.390817,5.5022,10000,100,1,1
1,42,1,43,0.021445,-0.0626867,-0.00601026,0.997785,-0.579309,-0.521292,5.57742,10000,100,1,1
1,43,1,44,-0.0132778,0.0891433,0.00862858,0.995893,0.331719,-0.400942,5.36066,10000,100,1,1
1,44,1,45,0.00345344,-0.0862627,-0.0134424,0.996176,-0.822928,-0.414229,5.1878,10000,100,1,1
1,45,1,46,-0.000534323,0.0521038,0.00176697,0.99864,0.532716,-0.42995,5.29646,10000,100,1,1
1,46,1,47,0.000524355,-0.0521843,-0.0291501,0.998212,-0.158045,-0.479215,5.38031,10000,100,1,1
1,47,1,48,-0.00863042,0.0556026,0.0219527,0.998174,0.0937247,-0.495437,5.3307,10000,100,1,1
1,48,1,49,0.019842,-0.0349021,-0.0024236,0.999191,-0.289946,-0.490642,5.02819,10000,100,1,1
1,49,1,50,0.0076866,0.0178837,0.0066627,0.999788,0.00980856,-0.262451,5.26054,10000,100,1,1
1,50,1,51,-0.00648672,0.0273457,-0.0136261,0.999512,0.0405686,-0.234682,5.55673,10000,100,1,1
1,51,1,52,0.00742804,-0.0823916,-0.0109785,0.996512,-0.129247,-0.290992,5.34314,10000,100,1,1
1,52,1,53,-0.0148456,0.0119545,0.0389171,0.999061,-0.180492,-0.208008,5.56513,10000,100,1,1
1,53,1,54,0.0179027,0.0849758,-0.00292914,0.996218,0.392288,-0.474361,5.4331,10000,100,1,1
1,54,1,55,0.0237081,-0.00907597,-0.0144784,0.999573,-0.0465792,-0.273097,5.47634,10000,100,1,1
1,55,1,56,-0.0483769,0.584339,0.0116366,0.809983,2.64253,0.0327555,4.26199,10000,100,1,1
1,56,1,57,-0.0174855,0.145842,0.0111055,0.989091,1.43356,-0.169736,5.2082,10000,100,1,1
1,57,1,58,0.0124064,-0.0148793,0.00367325,0.999806,0.0167963,-0.534378,5.31214,10000,100,1,1
1,58,1,59,0.00425877,0.0669206,0.00102229,0.997749,0.23384,-0.423549,5.50364,10000,100,1,1
1,59,1,60,-0.00923898,0.080871,0.0042615,0.996673,-1.13406,-0.113243,5.21005,10000,100,1,1
1,60,1,61,0.000190822,-0.132695,-0.0101571,0.991105,-0.896471,-0.197829,5.22505,10000,100,1,1
1,61,1,62,-0.00640008,-0.0655591,-0.00821834,0.997794,-0.0623148,-0.336262,5.64834,10000,100,1,1
1,62,1,63,0.00361399,0.0227675,0.0146308,0.999627,0.173559,-0.507348,5.60615,10000,100,1,1
1,63,1,64,-0.0336273,0.107533,0.00882439,0.993593,1.02966,-0.311657,5.34814,10000,100,1,1
1,64,1,65,0.0491681,0.0399988,0.0161875,0.997858,-0.195542,-0.747168,5.29891,10000,100,1,1
1,65,1,66,-0.00682395,-0.074635,-0.0135994,0.997095,0.26217,-0.21969,5.42626,10000,100,1,1
1,66,1,67,-0.00471244,-0.0199846,-0.00474896,0.999778,0.0992727,-0.436602,5.40484,10000,100,1,1
1,67,1,68,-0.00396814,0.065717,0.00899698,0.99779,0.270142,-0.461433,5.4713,10000,100,1,1
1,68,1,69,0.0015841,-0.114932,0.00080004,0.993372,-0.604588,-0.37739,5.28339,10000,100,1,1
1,69,1,70,0.000568263,0.0535191,0.0012235,0.998566,0.233995,-0.447968,5.26615,10000,100,1,1
1,70,1,71,0.0179947,0.00740789,0.0190104,0.99963,-0.225453,-0.40714,5.34708,10000,100,1,1
1,71,1,72,-0.0207937,0.0207816,-0.0223062,0.999319,-0.261071,-0.247334,5.55557,10000,100,1,1
1,72,1,73,0.0554933,0.517255,-0.00398145,0.854021,2.25016,-0.364371,4.33545,10000,100,1,1
1,73,1,74,-0.0603423,0.14881,0.00980646,0.986974,0.855012,0.322493,5.49185,10000,100,1,1
1,74,1,75,0.00163955,0.136142,0.00790482,0.990657,1.00742,-0.334275,5.26725,10000,100,1,1
1,75,1,76,0.00375839,-0.0256147,0.000648045,0.999665,-0.387207,-0.43054,5.47198,10000,100,1,1
1,76,1,77,-0.00509236,0.0224807,0.00203381,0.999732,-0.00833058,-0.348752,5.44898,10000,100,1,1
1,77,1,78,0.00154789,-0.0228696,-0.00629774,0.999717,-0.435906,-0.44608,5.26418,10000,100,1,1
1,78,1,79,0.00178102,-0.00623367,-0.000699724,0.999979,-0.33119,-0.424466,5.39688,10000,100,1,1
1,79,1,80,0.0045989,0.0520241,0.0049583,0.998623,0.160168,-0.331866,5.53327,10000,100,1,1
1,80,1,81,-0.00848441,-0.0204736,-0.01377,0.99966,-0.569208,-0.262589,5.21829,10000,100,1,1
1,81,1,82,-0.0105673,-0.117788,-0.00311053,0.992978,-0.566276,-0.371971,5.08689,10000,100,1,1
1,82,1,83,0.0103059,0.140036,0.0150169,0.989979,0.942317,-0.534174,5.61163,10000,100,1,1
