robot_src,pose_src,robot_dst,pose_dst,qx,qy,qz,qw,tx,ty,tz,kappa,tau,is_known_inlier,weight
3,0,3,1,-0.013663,-0.0704299,0.00907409,0.997382,-2.11935,-0.231729,3.93263,10000,100,1,1
3,1,3,2,0.00691808,-0.0321908,-0.00435948,0.999448,-0.422617,-0.43864,5.3718,10000,100,1,1
3,2,3,3,-0.00272604,-0.0117263,-0.00206464,0.999925,-0.120341,-0.395563,5.60451,10000,100,1,1
3,3,3,4,-0.000664081,-0.00691653,0.00267831,0.999972,0.164203,-0.435119,5.56415,10000,100,1,1
3,4,3,5,-0.000464317,0.0110968,-0.0010768,0.999938,0.0429624,-0.403853,5.08709,10000,100,1,1
3,5,3,6,-0.00457756,0.128001,0.00619254,0.991744,0.402472,-0.442563,5.49919,10000,100,1,1
3,6,3,7,0.0105033,-0.162398,-0.0136703,0.986575,-0.221619,-0.422534,5.43545,10000,100,1,1
3,7,3,8,0.0082027,-0.525202,-0.0175483,0.850757,-2.618,-0.164981,4.33185,10000,100,1,1
3,8,3,9,0.00637951,-0.171975,-0.000692979,0.98508,-1.73457,-0.459834,4.96512,10000,100,1,1
3,9,3,10,0.003415,-0.0568497,-0.00754519,0.998348,-0.476084,-0.412447,5.22873,10000,100,1,1
3,10,3,11,-0.00551624,0.138763,0.0140215,0.990211,-0.17563,-0.364274,5.53277,10000,100,1,1
3,11,3,12,-0.00370461,0.487842,0.0228904,0.872624,2.22019,-0.29879,4.58466,10000,100,1,1
3,12,3,13,0.00477311,0.0133315,-0.01629,0.999767,0.158446,-0.459309,5.81627,10000,100,1,1
3,13,3,14,-0.0179429,-0.279279,-0.00329272,0.960037,-1.28432,-0.272647,5.383,10000,100,1,1
3,14,3,15,0.011278,-0.215393,-0.00628087,0.976442,-1.71489,-0.395806,5.44051,10000,100,1,1
3,15,3,16,0.000955082,-0.0131273,-9.89064e-05,0.999913,-0.271541,-0.425313,5.47987,10000,100,1,1
3,16,3,17,0.00212296,-0.057569,-0.00456626,0.998329,-0.69526,-0.43169,5.26998,10000,100,1,1
3,17,3,18,-0.00945054,0.594982,0.0308544,0.803091,3.15332,-0.148689,3.89031,10000,100,1,1
3,18,3,19,0.00283376,0.15903,0.00892961,0.987229,0.71511,-0.352557,5.2852,10000,100,1,1
3,19,3,20,0.0164323,-0.567135,-0.0332923,0.822788,-2.08914,-0.209464,4.4364,10000,100,1,1
3,20,3,21,-0.000270942,-0.124042,0.000245039,0.992277,-2.56093,-0.0894458,4.13331,10000,100,1,1
3,21,3,22,-0.0163696,0.991325,0.0515969,-0.119769,1.33894,0.173643,-3.13247,10000,100,1,1
3,22,3,23,-0.00456633,-0.232445,-0.0141266,0.972496,-2.54604,-0.2807,4.87717,10000,100,1,1
3,23,3,24,0.00994441,-0.182921,-0.0179528,0.982913,-0.578559,-0.391317,5.43422,10000,100,1,1
3,24,3,25,-0.014114,0.268755,0.026187,0.962749,1.19046,-0.239761,5.22473,10000,100,1,1
3,25,3,26,0.00564381,-0.109769,-0.0129766,0.993856,0.312325,-0.443335,5.56907,10000,100,1,1
3,26,3,27,-0.00527826,0.0522564,0.0060938,0.998601,0.154345,-0.437235,5.69488,10000,100,1,1
3,27,3,28,-0.000954853,0.0112612,-0.000413932,0.999936,-0.201716,-0.487348,5.58903,10000,100,1,1
3,28,3,29,-0.0107312,-0.017468,0.0128811,0.999707,-0.447107,-0.496335,5.43522,10000,100,1,1
3,29,3,30,0.01213,0.0293339,-0.013095,0.99941,-0.531383,-0.584604,5.39841,10000,100,1,1
3,30,3,31,0.0158291,-0.0938747,-0.0120334,0.995385,-0.232278,-0.488314,5.54496,10000,100,1,1
3,31,3,32,-0.0169765,0.103533,0.0177064,0.994323,0.387399,-0.318945,5.79192,10000,100,1,1
3,32,3,33,0.00255094,-0.0387847,-0.00585578,0.999227,-0.767983,-0.45096,5.35938,10000,100,1,1
3,33,3,34,0.00470586,-0.00934539,0.00157789,0.999944,-0.235413,-0.46548,5.74615,10000,100,1,1
3,34,3,35,-0.00543114,0.0221913,0.00949579,0.999694,0.00603615,-0.380528,5.36908,10000,100,1,1
3,35,3,36,-0.00220635,-0.208036,-0.0254913,0.977786,-1.01297,-0.39426,5.18254,10000,100,1,1
3,36,3,37,-0.0151555,0.144669,0.0144887,0.989258,1.08008,-0.404776,5.39941,10000,100,1,1
3,37,3,38,0.0173549,0.0804725,0.0140865,0.996506,1.79169,-0.381477,4.99507,10000,100,1,1
3,38,3,39,-0.00373642,-0.0951358,-0.0103986,0.995403,-0.538727,-0.425595,5.21068,10000,100,1,1
3,39,3,40,-0.00123462,0.100872,0.0222765,0.994649,0.502284,-0.429174,5.41153,10000,100,1,1
3,40,3,41,0.00907791,-0.175757,-0.0332252,0.983831,-0.987105,-0.442265,5.32752,10000,100,1,1
3,41,3,42,-0.00193279,0.151401,0.02411,0.988176,0.272352,-0.332818,5.32189,10000,100,1,1
3,42,3,43,0.00340714,-0.0674984,-0.0120228,0.997641,-0.0218399,-0.394569,5.25764,10000,100,1,1
3,43,3,44,0.000420056,-0.04695,-0.00998234,0.998847,-0.0184524,-0.388734,5.0883,10000,100,1,1
3,44,3,45,-0.00221102,0.00324385,-0.00245858,0.999989,-0.467259,-0.382365,5.3618,10000,100,1,1
3,45,3,46,-0.00701507,-0.102578,0.000837431,0.9947,-1.00633,-0.421477,5.45616,10000,100,1,1
3,46,3,47,0.00300411,-0.0638894,-0.0169614,0.997808,-0.457795,-0.49088,5.56587,10000,100,1,1
3,47,3,48,0.00742475,-0.0743031,0.00158512,0.997207,0.127299,-0.449532,5.39018,10000,100,1,1
3,48,3,49,0.00739299,-0.551519,-0.0448725,0.832921,-2.75046,-0.421148,4.48349,10000,100,1,1
3,49,3,50,-0.0102093,-0.197121,-0.00607119,0.980307,-1.42526,-0.294072,5.13865,10000,100,1,1
3,50,3,51,0.0288498,-0.0457217,-0.00921525,0.998495,-0.235722,-0.631176,5.43053,10000,100,1,1
3,51,3,52,0.00391452,-0.0905815,-0.00754983,0.995853,-1.38166,-0.464445,5.30724,10000,100,1,1
3,52,3,53,0.00785501,-0.377709,-0.025649,0.925536,-1.23171,-0.243937,5.00368,10000,100,1,1
3,53,3,54,0.000251982,-0.22584,-0.0158921,0.974035,-1.4446,-0.372933,5.18571,10000,100,1,1
3,54,3,55,-0.0189305,0.844292,0.0603446,0.532138,2.74759,-0.143639,2.87118,10000,100,1,1
3,55,3,56,0.0440023,0.150649,0.0263384,0.987256,0.663511,-0.896523,5.15203,10000,100,1,1
3,56,3,57,-0.00817063,0.268053,-0.0343003,0.962759,0.465953,-0.213957,5.01245,10000,100,1,1
3,57,3,58,0.00953343,0.180225,0.00419019,0.98357,1.27221,-0.493097,5.29812,10000,100,1,1
3,58,3,59,-0.0550007,-0.403144,-0.0079125,0.913448,-2.7186,0.0154016,4.63353,10000,100,1,1
3,59,3,60,0.0101908,-0.179457,-0.0137534,0.983617,-2.28327,-0.435874,5.25217,10000,100,1,1
3,60,3,61,-0.00614176,0.381177,0.0271224,0.924084,1.35076,-0.233284,5.19421,10000,100,1,1
3,61,3,62,0.00980996,-0.54191,-0.0427962,0.839289,-2.56016,-0.44185,4.16777,10000,100,1,1
3,62,3,63,0.00775811,0.178209,0.0178547,0.9838,0.390267,-0.333799,5.41554,10000,100,1,1
3,63,3,64,-0.0144346,0.23884,0.00585909,0.970934,1.24323,-0.335528,5.0378,10000,100,1,1
3,64,3,65,0.00356354,0.287328,0.0299389,0.957358,1.41705,-0.493471,5.01837,10000,100,1,1
3,65,3,66,-0.00647897,-0.585963,-0.0500016,0.808767,-3.89554,-0.213458,3.46911,10000,100,1,1
3,66,3,67,0.00321447,-0.0481692,-0.0121917,0.99876,-0.688742,-0.605683,5.36645,10000,100,1,1
3,67,3,68,0.0110896,-0.21426,-0.0107714,0.976654,-1.17783,-0.495838,5.10292,10000,100,1,1
3,68,3,69,0.00101672,-0.124391,-0.0118096,0.992163,1.29664,-0.419483,5.00004,10000,100,1,1
3,69,3,70,0.003617,-0.17931,-0.0134608,0.983694,-2.71776,-0.378174,5.03478,10000,100,1,1
3,70,3,71,-0.00232955,0.523426,0.0356787,0.85132,3.95616,-0.211206,3.30524,10000,100,1,1
3,71,3,72,-0.00388954,-0.0931158,-0.00925555,0.995605,-0.638582,-0.331436,5.34552,10000,100,1,1
3,72,3,73,-0.00513569,0.143246,0.0166625,0.989534,0.991512,-0.319642,5.47207,10000,100,1,1
3,73,3,74,-0.00908226,-0.217152,-0.0172617,0.975943,-2.00842,-0.367269,5.17749,10000,100,1,1
3,74,3,75,0.00847566,-0.0590108,0.000156296,0.998221,-1.60921,-0.449152,5.36948,10000,100,1,1
3,75,3,76,0.00593949,0.0844225,0.00406251,0.996404,0.82475,-0.456168,5.46542,10000,100,1,1
3,76,3,77,0.00265926,0.0287109,0.00109689,0.999584,0.681,-0.332501,5.31846,10000,100,1,1
3,77,3,78,-0.00191107,0.0513563,-0.000469801,0.998678,0.101208,-0.35484,5.35768,10000,100,1,1
3,78,3,79,0.000742318,-0.582291,-0.0435285,0.811814,-3.3592,-0.14871,3.08371,10000,100,1,1
3,79,3,80,-0.0038481,0.597695,0.0531492,0.799951,2.63341,-0.149276,3.73044,10000,100,1,1
3,80,3,81,0.00375749,0.00982094,-0.00457011,0.999934,2.07703,-0.469695,4.39388,10000,100,1,1
3,81,3,82,-6.23897e-05,-0.0163459,-0.00332274,0.999861,-0.252747,-0.314149,5.2416,10000,100,1,1
3,82,3,83,-0.00476282,-0.159615,-0.00800912,0.987135,-0.642495,-0.412442,5.34908,10000,100,1,1
3,83,3,84,0.00329666,-0.00684138,0.000284003,0.999971,0.450799,-0.364289,5.40023,10000,100,1,1
3,84,3,85,-0.0571983,0.029334,0.0402782,0.997119,-0.305552,-0.341973,5.04371,10000,100,1,1
3,85,3,86,0.0497885,0.0208152,-0.0347299,0.997939,1.02665,-0.936874,3.23341,10000,100,1,1
3,86,3,87,-0.00216618,-0.477336,-0.0477344,0.877421,-3.21596,-0.0657954,3.75751,10000,100,1,1
3,87,3,88,-0.0167541,0.11392,0.0138529,0.993252,1.47942,-0.336912,5.25874,10000,100,1,1
3,88,3,89,0.00287224,-0.075321,-0.00232157,0.997153,-1.09532,-0.433099,5.28398,10000,100,1,1
