robot_src,pose_src,robot_dst,pose_dst,qx,qy,qz,qw,tx,ty,tz,kappa,tau,is_known_inlier,weight
7,0,7,1,1.44496e-06,-0.00158922,-0.000281168,0.999999,0.00790691,-0.00344464,-0.0236021,10000,100,1,1
7,1,7,2,2.05e-06,-0.000971555,-0.000122724,1,0.000273308,-0.000343128,-0.00403434,10000,100,1,1
7,2,7,3,-0.00425095,0.556751,0.0331616,0.830006,0.549642,0.0710729,-1.14858,10000,100,1,1
7,3,7,4,0.00161303,0.00292547,0.00218586,0.999992,0.0454659,-0.00843538,0.264437,10000,100,1,1
7,4,7,5,-0.00346154,-0.600561,-0.0278965,0.799085,-2.96284,-0.168037,3.97086,10000,100,1,1
7,5,7,6,0.00374113,0.216514,0.00145834,0.976271,0.373239,-0.217922,5.11591,10000,100,1,1
7,6,7,7,-0.00266749,-0.0400762,0.00385463,0.999186,-0.0470247,-0.16991,5.23512,10000,100,1,1
7,7,7,8,0.00371483,-0.0177777,-0.00779489,0.999805,-0.0564074,-0.205926,5.25621,10000,100,1,1
7,8,7,9,0.000763124,-0.0186494,0.00550977,0.999811,-0.0120959,-0.120114,5.3476,10000,100,1,1
7,9,7,10,-0.00319232,-0.0210697,-0.00632168,0.999753,0.000818387,-0.184691,5.39395,10000,100,1,1
7,10,7,11,0.00175811,0.0598964,0.00526064,0.998189,0.448584,-0.163615,5.2862,10000,100,1,1
7,11,7,12,-0.000210885,-0.00383053,-0.00346117,0.999987,-0.496703,-0.203334,5.29904,10000,100,1,1
7,12,7,13,-0.00197531,-0.262751,-0.0127644,0.964777,-0.883425,-0.0851976,5.08922,10000,100,1,1
7,13,7,14,-0.00274074,0.463924,0.0277894,0.885435,2.18399,-0.159512,4.47318,10000,100,1,1
7,14,7,15,-0.00469598,0.997184,0.0504112,0.0553175,2.84982,0.0248171,-1.12197,10000,100,1,1
7,15,7,16,-0.00944141,0.965307,0.0458102,0.256893,2.61946,0.153611,-2.04659,10000,100,1,1
