robot_src,pose_src,robot_dst,pose_dst,qx,qy,qz,qw,tx,ty,tz,kappa,tau,is_known_inlier,weight
5,0,5,1,0.00107488,-0.0547911,-0.00908773,0.998456,0.778108,-0.250048,5.00657,10000,100,1,1
5,1,5,2,-0.00248014,0.0276267,0.0034331,0.999609,0.104042,-0.238369,5.3638,10000,100,1,1
5,2,5,3,0.000552529,-0.00361485,-0.00365904,0.999987,-0.0259512,-0.260749,5.24663,10000,100,1,1
5,3,5,4,-0.00306924,0.0778478,0.00645509,0.99694,0.624244,-0.20615,5.29013,10000,100,1,1
5,4,5,5,0.00219942,-0.0570374,-0.000871335,0.998369,-0.678799,-0.308702,5.29031,10000,100,1,1
5,5,5,6,0.00267853,-0.0360088,-0.00183072,0.999346,-0.148247,-0.235039,5.21988,10000,100,1,1
5,6,5,7,-0.00790845,-0.0896293,-0.00666307,0.995922,0.428308,-0.207608,5.29789,10000,100,1,1
5,7,5,8,-0.0431032,0.999013,0.00382186,-0.0100172,-3.28084,0.00971832,-0.218688,10000,100,1,1
5,8,5,9,-0.0531609,0.992594,0.00275382,0.109198,-2.56797,-0.0519762,-1.56471,10000,100,1,1
5,9,5,10,-0.00415044,0.0556952,0.0159319,0.998312,0.425776,-0.246161,5.1131,10000,100,1,1
5,10,5,11,-0.000566007,0.074635,0.00600884,0.997193,0.433037,-0.234201,5.17607,10000,100,1,1
5,11,5,12,-0.000306394,-0.107561,-0.0042232,0.99419,-0.324295,-0.18523,5.36697,10000,100,1,1
5,12,5,13,-0.0048908,0.115253,0.000453976,0.993324,0.688478,-0.252957,5.14809,10000,100,1,1
5,13,5,14,0.007001,-0.145366,0.00165723,0.989352,-0.869833,-0.199413,5.14736,10000,100,1,1
5,14,5,15,-0.00413095,0.134065,0.00191644,0.990962,0.916224,-0.131094,5.12778,10000,100,1,1
5,15,5,16,0.00336313,0.887958,0.0269016,-0.459125,1.5909,0.198368,0.139868,10000,100,1,1
5,16,5,17,-0.00120276,0.85884,0.0270512,0.511528,2.10056,0.201896,-0.168628,10000,100,1,1
5,17,5,18,0.0352879,0.197349,0.00826409,0.979663,1.71549,-0.424792,4.92197,10000,100,1,1
5,18,5,19,-0.0399464,-0.10534,-0.00713855,0.993608,-0.491079,-0.158893,5.12457,10000,100,1,1
5,19,5,20,0.00675692,-0.003966,-0.000119485,0.999969,-0.00195535,-0.217913,5.22716,10000,100,1,1
5,20,5,21,0.0394041,-0.0138912,-0.00235092,0.999124,-0.0734784,-0.582082,5.34259,10000,100,1,1
5,21,5,22,-0.0432447,-0.13166,0.00325814,0.990346,-1.2519,-0.184002,5.05664,10000,100,1,1
5,22,5,23,-0.00550315,0.428336,0.0136509,0.9035,2.22106,-0.15028,4.12932,10000,100,1,1
5,23,5,24,-0.0168297,0.443718,0.0135041,0.895906,-0.529377,0.0692263,-0.373662,10000,100,1,1
5,24,5,25,-0.0194713,0.983745,0.0456704,0.172573,-0.901817,-0.0930471,-2.85367,10000,100,1,1
5,25,5,26,-0.00349482,0.109545,-0.00109448,0.993975,1.65236,-0.351729,5.05468,10000,100,1,1
5,26,5,27,0.00145595,0.032123,0.0048734,0.999471,0.205521,-0.283389,5.30753,10000,100,1,1
5,27,5,28,0.0047804,-0.0322612,-0.00146036,0.999467,0.00579623,-0.26959,5.39753,10000,100,1,1
5,28,5,29,8.26475e-05,0.0195251,0.00375961,0.999802,0.0967551,-0.226165,5.27363,10000,100,1,1
5,29,5,30,-0.00375214,0.0204378,-0.00209917,0.999782,0.0153908,-0.194354,5.41439,10000,100,1,1
5,30,5,31,0.000653833,-0.0159795,0.000551876,0.999872,-0.298213,-0.262464,5.3563,10000,100,1,1
5,31,5,32,-0.00197527,-0.02196,-0.00628118,0.999737,-0.211646,-0.246993,5.28955,10000,100,1,1
5,32,5,33,-0.0014445,-0.0183996,-0.000857193,0.999829,-0.345303,-0.273938,5.33813,10000,100,1,1
5,33,5,34,0.00406978,-0.00506843,0.00637637,0.999959,0.318948,-0.288783,5.31286,10000,100,1,1
5,34,5,35,0.00102649,-0.00219706,-0.00832618,0.999962,-0.111659,-0.280076,5.30882,10000,100,1,1
5,35,5,36,-0.0179263,0.634089,0.0372458,0.772155,1.81349,-0.151356,4.17969,10000,100,1,1
5,36,5,37,-0.0163796,0.932629,0.0416547,-0.35805,-1.24273,0.0845508,2.01686,10000,100,1,1
5,37,5,38,-0.0182487,0.900165,0.0400643,0.433319,-0.724394,0.14027,-2.63979,10000,100,1,1
5,38,5,39,0.0390681,-0.561332,-0.00179063,0.826666,-4.05096,-0.298352,1.69665,10000,100,1,1
5,39,5,40,-0.00218027,-0.0136953,-0.0035504,0.999898,-0.111814,-0.225397,5.33464,10000,100,1,1
5,40,5,41,-0.0100755,-0.0711674,0.000448644,0.997413,-0.725109,-0.221012,5.1866,10000,100,1,1
5,41,5,42,0.0222109,0.0431403,0.0025866,0.998819,0.213684,-0.287788,5.19366,10000,100,1,1
5,42,5,43,-0.0116798,-0.00920733,-0.0169363,0.999746,-0.545437,-0.215388,5.35128,10000,100,1,1
5,43,5,44,-0.0363019,-0.119191,0.0062783,0.992188,-0.811541,-0.0954948,5.19014,10000,100,1,1
5,44,5,45,0.00303224,0.0847267,0.00473372,0.996388,0.234898,-0.290926,5.33849,10000,100,1,1
5,45,5,46,-0.000447804,0.00667917,0.00598199,0.99996,-0.271877,-0.252557,5.20145,10000,100,1,1
5,46,5,47,-0.000459761,0.0466245,-0.000967048,0.998912,0.684093,-0.202447,5.31908,10000,100,1,1
5,47,5,48,-0.00138484,0.193538,0.00760225,0.981062,-0.0271773,-0.21928,5.25885,10000,100,1,1
5,48,5,49,-0.00687357,0.399191,0.00920814,0.916796,-0.393577,0.231494,-0.186341,10000,100,1,1
5,49,5,50,0.00814746,-0.687688,-0.019175,0.725707,-1.05585,-0.291541,-0.514694,10000,100,1,1
5,50,5,51,-0.00113221,0.0953429,-0.00165717,0.995442,0.583854,-0.00801384,2.47974,10000,100,1,1
5,51,5,52,0.00243719,-0.108452,-0.00207462,0.994097,-0.397018,-0.256014,5.25256,10000,100,1,1
5,52,5,53,-5.05305e-05,0.115263,0.00725524,0.993309,0.468918,-0.28935,5.18532,10000,100,1,1
5,53,5,54,-0.00143149,-0.0484637,-0.00586509,0.998807,-0.415435,-0.256591,5.2155,10000,100,1,1
